File;Place;Id;Night_Date;Date_Time;Date;Year;Month;Week;Day;Time;Hour;Minute
BST-1_20180706_040032_971.wav;BST-1;ChiroSp;2018-07-05;2018-07-06 04:00;2018-07-06;2018;7;27;6;04:00;4;0
BST-1_20180706_041128_733.wav;BST-1;ChiroSp;2018-07-05;2018-07-06 04:11;2018-07-06;2018;7;27;6;04:11;4;11
BST-1_20180706_224921_687.wav;BST-1;ChiroSp;2018-07-06;2018-07-06 22:49;2018-07-06;2018;7;27;6;22:49;22;49
BST-1_20180707_022455_678.wav;BST-1;ChiroSp;2018-07-06;2018-07-07 02:24;2018-07-07;2018;7;27;7;02:24;2;24
BST-1_20180707_025527_975.wav;BST-1;ChiroSp;2018-07-06;2018-07-07 02:55;2018-07-07;2018;7;27;7;02:55;2;55
BST-1_20180707_034737_415.wav;BST-1;ChiroSp;2018-07-06;2018-07-07 03:47;2018-07-07;2018;7;27;7;03:47;3;47
BST-1_20180708_000609_102.wav;BST-1;Pipnat/Pippip;2018-07-07;2018-07-08 00:06;2018-07-08;2018;7;27;8;00:06;0;6
BST-1_20180708_003157_297.wav;BST-1;ChiroSp;2018-07-07;2018-07-08 00:31;2018-07-08;2018;7;27;8;00:31;0;31
BST-1_20180710_042501_161.wav;BST-1;ChiroSp;2018-07-09;2018-07-10 04:25;2018-07-10;2018;7;28;10;04:25;4;25
BST-1_20180713_010432_161.wav;BST-1;ChiroSp;2018-07-12;2018-07-13 01:04;2018-07-13;2018;7;28;13;01:04;1;4
BST-1_20180714_225645_893.wav;BST-1;ChiroSp;2018-07-14;2018-07-14 22:56;2018-07-14;2018;7;28;14;22:56;22;56
BST-1_20180714_225700_893.wav;BST-1;Sérotules;2018-07-14;2018-07-14 22:57;2018-07-14;2018;7;28;14;22:57;22;57
BST-1_20180715_230305_341.wav;BST-1;Pipnat/Pippip;2018-07-15;2018-07-15 23:03;2018-07-15;2018;7;28;15;23:03;23;3
BST-1_20180716_225459_180.wav;BST-1;ChiroSp;2018-07-16;2018-07-16 22:54;2018-07-16;2018;7;29;16;22:54;22;54
BST-1_20180717_223125_778.wav;BST-1;Pipkuh/Pipnat;2018-07-17;2018-07-17 22:31;2018-07-17;2018;7;29;17;22:31;22;31
BST-1_20180717_224634_843.wav;BST-1;ChiroSp;2018-07-17;2018-07-17 22:46;2018-07-17;2018;7;29;17;22:46;22;46
BST-1_20180717_225510_723.wav;BST-1;ChiroSp;2018-07-17;2018-07-17 22:55;2018-07-17;2018;7;29;17;22:55;22;55
BST-1_20180717_225515_723.wav;BST-1;ChiroSp;2018-07-17;2018-07-17 22:55;2018-07-17;2018;7;29;17;22:55;22;55
BST-1_20180718_014449_156.wav;BST-1;ChiroSp;2018-07-17;2018-07-18 01:44;2018-07-18;2018;7;29;18;01:44;1;44
BST-1_20180718_022409_000.wav;BST-1;ChiroSp;2018-07-17;2018-07-18 02:24;2018-07-18;2018;7;29;18;02:24;2;24
BST-1_20180718_035059_423.wav;BST-1;ChiroSp;2018-07-17;2018-07-18 03:50;2018-07-18;2018;7;29;18;03:50;3;50
BST-1_20180719_225432_152.wav;BST-1;Pipnat/Pippip;2018-07-19;2018-07-19 22:54;2018-07-19;2018;7;29;19;22:54;22;54
BST-1_20180721_024539_255.wav;BST-1;ChiroSp;2018-07-20;2018-07-21 02:45;2018-07-21;2018;7;29;21;02:45;2;45
BST-1_20180722_045137_277.wav;BST-1;ChiroSp;2018-07-21;2018-07-22 04:51;2018-07-22;2018;7;29;22;04:51;4;51
BST-1_20180722_045151_343.wav;BST-1;ChiroSp;2018-07-21;2018-07-22 04:51;2018-07-22;2018;7;29;22;04:51;4;51
BST-1_20180722_224408_241.wav;BST-1;Pipnat/Pippip;2018-07-22;2018-07-22 22:44;2018-07-22;2018;7;29;22;22:44;22;44
BST-1_20180723_045746_503.wav;BST-1;ChiroSp;2018-07-22;2018-07-23 04:57;2018-07-23;2018;7;29;23;04:57;4;57
BST-1_20180723_222316_971.wav;BST-1;Pipnat/Pippip;2018-07-23;2018-07-23 22:23;2018-07-23;2018;7;30;23;22:23;22;23
BST-1_20180723_234636_648.wav;BST-1;Pipnat/Pippip;2018-07-23;2018-07-23 23:46;2018-07-23;2018;7;30;23;23:46;23;46
BST-1_20180725_222915_653.wav;BST-1;ChiroSp;2018-07-25;2018-07-25 22:29;2018-07-25;2018;7;30;25;22:29;22;29
BST-1_20180725_231726_555.wav;BST-1;Pipkuh/Pipnat;2018-07-25;2018-07-25 23:17;2018-07-25;2018;7;30;25;23:17;23;17
BST-1_20180725_231835_197.wav;BST-1;Pipkuh/Pipnat;2018-07-25;2018-07-25 23:18;2018-07-25;2018;7;30;25;23:18;23;18
BST-1_20180726_033058_792.wav;BST-1;ChiroSp;2018-07-25;2018-07-26 03:30;2018-07-26;2018;7;30;26;03:30;3;30
BST-1_20180726_224745_517.wav;BST-1;Pipkuh/Pipnat;2018-07-26;2018-07-26 22:47;2018-07-26;2018;7;30;26;22:47;22;47
BST-1_20180726_225105_425.wav;BST-1;Pipkuh/Pipnat;2018-07-26;2018-07-26 22:51;2018-07-26;2018;7;30;26;22:51;22;51
BST-1_20180726_225750_819.wav;BST-1;Pipkuh/Pipnat;2018-07-26;2018-07-26 22:57;2018-07-26;2018;7;30;26;22:57;22;57
BST-1_20180726_230323_354.wav;BST-1;Pipkuh/Pipnat;2018-07-26;2018-07-26 23:03;2018-07-26;2018;7;30;26;23:03;23;3
BST-1_20180727_220246_983.wav;BST-1;Pipnat/Pippip;2018-07-27;2018-07-27 22:02;2018-07-27;2018;7;30;27;22:02;22;2
BST-1_20180727_224633_671.wav;BST-1;Pipnat/Pippip;2018-07-27;2018-07-27 22:46;2018-07-27;2018;7;30;27;22:46;22;46
BST-1_20180727_225547_923.wav;BST-1;Pipkuh/Pipnat;2018-07-27;2018-07-27 22:55;2018-07-27;2018;7;30;27;22:55;22;55
BST-1_20180727_231409_671.wav;BST-1;Pipkuh/Pipnat;2018-07-27;2018-07-27 23:14;2018-07-27;2018;7;30;27;23:14;23;14
